16:59:58.386 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:00:16.849 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:00:29.289 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:00:38.003 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:00:48.744 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:00:56.501 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:00:59.123 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:01:06.143 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:01:24.430 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:01:36.890 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:02:23.888 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:05:58.596 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:14.590 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:30.630 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:34.918 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:36.607 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:48.010 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:50.310 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:53.897 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:06:57.705 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:07:11.727 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:07:22.545 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:07:26.700 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:07:29.571 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:07:40.606 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:07:50.373 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:07:53.882 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:16.055 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:41.230 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:47.590 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:49.623 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:50.763 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:51.635 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:52.004 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:52.424 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:52.963 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:53.630 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:08:54.426 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:00.166 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:19.305 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:20.251 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:20.784 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:21.504 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:22.183 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:23.691 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:25.124 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:25.652 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:26.221 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:27.612 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:28.108 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:28.551 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:28.916 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:29.251 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:29.628 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:30.329 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:40.187 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:51.475 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:53.604 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:09:56.280 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:10:05.832 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:10:19.770 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:10:20.547 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:10:21.415 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:10:21.844 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:10:24.465 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:11:05.090 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
17:11:48.683 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
